country_code,Access to electricity (% of population),Bribery incidence (% of firms experiencing at least one bribe payment request),CO2 emissions (metric tons per capita),Current health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic private health expenditure (% of current health expenditure),Ease of doing business score (0 = lowest performance to 100 = best performance),"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP per capita (current US$),GDP per capita growth (annual %),Gini index,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)",Logistics performance index: Overall (1=low to 5=high),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)","Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Rural population (% of total population),Strength of legal rights index (0=weak to 12=strong),"Suicide mortality rate (per 100,000 population)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
ARM,99.96666717529297,,2.0355243114915864,10.891987486666666,1.3489929033333332,86.54746754666667,74.05996333333333,,43.824666341145836,4476.610989301783,6.57220846500736,31.399999999999995,3505.2989259262363,61.56666666666666,,,,2.61,4.552607620022067,121.98550806666667,11.700000000000001,92.05199940999348,21.6883116883117,36.80433333333334,6.0,2.9,18.523332595825167
ASM,,,,,,,,,,11650.776685847566,0.8401448749908841,,8629.692951177123,,,,,,,,,,,12.850999999999999,,,
ATG,100.0,,5.335297682994636,4.578949929999999,2.702359283333333,40.95202382666667,60.14066,,,17144.297005151766,4.619281800324944,,,,,,,,,189.4602442,6.7,96.1988296508789,11.1111111111111,75.463,5.0,0.4000000000000001,
AUS,100.0,,15.323354517644901,9.65885862,6.835200783333334,29.284313836666666,81.04521333333334,78.8072052001953,62.41533406575524,55643.78377094387,0.8150155629475634,34.3,33146.73313380147,78.36333333333333,,,,3.75,1.883369592992483,109.83875726666668,3.7000000000000006,,29.8646063281825,13.913333333333332,11.0,12.466666666666667,5.2066666285196925
AUT,100.0,,7.240344141418017,10.395189923333334,7.57485024,27.132229483333333,78.74364333333334,80.6740493774414,58.534666697184235,50571.79257380933,1.3617895878053836,30.400000000000002,23855.39874429193,76.78333333333335,,,,4.03,0.733225704945478,121.02862056666667,3.6,99.5433349609375,37.7049180327869,41.55766666666667,4.0,14.966666666666667,4.609999815622963
AZE,100.0,12.1,3.45920933640912,3.8775967733333334,1.1639413433333334,69.71788278999999,76.97145333333334,88.42336527506511,63.3716672261556,4783.78304853409,1.2987290434514935,,,72.08,99.7267532348633,99.8682403564453,99.7959823608398,,3.769741546752423,105.96877516666666,20.766666666666666,100.32887522379566,16.804481792717066,44.086000000000006,10.666666666666666,4.066666666666666,4.866666634877523
BDI,11.199321746826167,,0.062209404888218765,8.075532593333334,2.5411914966666664,40.52406438,46.67449,,77.68533325195312,228.586686990045,-1.4016858449044935,,213.367765652312,79.98,,,,2.06,2.2921551584006763,56.61136928333334,57.4,60.591409047444664,36.3636363636364,86.74533333333333,2.0,6.233333333333333,1.5883333285649635
BEL,100.0,,8.129168832453677,10.692266466666666,8.21090094,23.207202910000003,74.90770333333334,71.4462585449219,51.3053321838379,46915.81023988073,1.5012230721190534,27.2,22097.9906043338,68.91666666666667,,,,4.04,0.8922434623387834,99.72699062,4.2,,40.666666666666664,1.9723333333333333,8.0,18.433333333333334,5.556666692097981
BEN,39.968098958333336,,0.6277418692808346,2.427007593333333,0.52429192,52.12464904666666,52.1736,,70.48099772135413,1226.9521033144667,3.941653870850283,37.8,817.8626396216587,71.66333333333333,31.0716495513916,53.9770317077637,42.3624000549316,2.75,0.5262424075319521,85.92943888333333,89.23333333333335,64.4395980834961,7.2289156626506,52.322,6.0,7.833333333333333,1.4700000286102302
BFA,17.049903233846035,,0.2428435472345667,5.279924076666666,2.219080926666667,42.361606599999995,51.35615000000001,6.15245008468628,62.3630002339681,798.910317158956,3.0132596863488126,47.3,473.62485562146964,67.81,31.0440807342529,49.1727294921875,39.3458518981934,2.62,2.4590389215466337,99.44558347333333,88.8,64.85927836100264,12.598425196850366,70.22733333333332,6.0,7.533333333333334,4.69199991226196
BGD,92.06666564941406,,0.5433906384964332,2.49172751,0.45035375333333333,75.66971842333332,44.18777333333333,31.068322499593133,55.7560005187988,2099.9789679154133,6.583082341982194,,1075.14854979784,61.49333333333333,71.69290415445964,77.18407948811847,74.4270426432292,2.58,1.3206043905812768,101.11434136666666,31.266666666666666,,20.5154864237959,62.852666666666664,5.0,3.6666666666666665,4.42966683705648
